epoch,train_loss,train_acc,val_loss,val_acc
1,1.8167234190048407,0.2921250837966797,1.4872042252412483,0.4862686567164179
2,1.5241393899827347,0.39603296659962933,1.366430822770987,0.5301492537313433
3,1.4176507742229407,0.44989944398438425,1.23508347119858,0.5725373134328359
4,1.3387563396240099,0.48684885050672344,1.106906928055322,0.6161194029850746
5,1.280071048068297,0.5077092945305415,1.1033268250280353,0.6002985074626865
6,1.2330222539690383,0.5293978469182539,1.0360454227675253,0.637910447761194
7,1.1920483999247806,0.5491935801884933,1.052006863373429,0.6128358208955224
8,1.1474680054417647,0.5630348199850151,1.0601205803387201,0.608955223880597
9,1.1029049041655834,0.5812532039906937,1.1992805389859784,0.5889552238805971
10,1.0680271125943546,0.597578768878899,1.0840098340119888,0.6077611940298507
