epoch,train_loss,train_acc,val_loss,val_acc
1,1.809723741681311,0.28419890374226114,1.5294643868973006,0.47134328358208955
2,1.6056652673764336,0.3632635356283765,1.438382381396507,0.5038805970149254
3,1.5217239000504033,0.4033282069482235,1.3490809357344216,0.5361194029850747
4,1.4745487004801736,0.4248984581410939,1.290968774610491,0.5507462686567164
5,1.4276040823349907,0.4456011672384558,1.2755848646875638,0.5585074626865671
6,1.3892823552957463,0.46464765960802873,1.3298173943562295,0.5319402985074627
7,1.3542519660302341,0.4775819235774281,1.1959953340843543,0.568955223880597
8,1.3252658759989644,0.4907922236681257,1.2148222640023303,0.5671641791044776
9,1.2941857531806018,0.5042391261485074,1.2242263001114575,0.5564179104477612
10,1.2665174261779693,0.5162664142907843,1.2034899431911867,0.5650746268656717
