epoch,train_loss,train_acc,val_loss,val_acc
1,2.061240650505724,0.2395204858235735,1.5812701951211958,0.4591044776119403
2,1.6975356096292296,0.31042233526558616,1.444471979995272,0.5122388059701493
3,1.6344013204991645,0.34934342836862653,1.42391241692785,0.5262686567164179
4,1.5855245779372855,0.3747781852596711,1.3963141101865626,0.531044776119403
5,1.545137441799023,0.3982412555700146,1.2630415807553192,0.5647761194029851
6,1.505349949108623,0.41488229031113216,1.4043795981335996,0.502089552238806
7,1.4653262902455044,0.43006427698253086,1.2961808533455008,0.5414925373134328
8,1.4287595185502442,0.4444575890216491,1.3152223052551497,0.535223880597015
9,1.3895744628826148,0.46433218975511653,1.2187958607033118,0.562089552238806
10,1.3594118925227583,0.477424188650972,1.2050552478121288,0.5662686567164179
