epoch,train_loss,train_acc,val_loss,val_acc
1,1.68590652934666,0.3270633700067037,1.309453070128142,0.5349253731343283
2,1.4235143904110776,0.4505303836902086,1.1833938463054485,0.5782089552238806
3,1.326720644474462,0.4870854528964076,1.1669541118394082,0.5686567164179105
4,1.2599779091505998,0.5206435584999408,1.0954123217490181,0.5955223880597015
5,1.2133263042519449,0.545329074490319,1.198916716717962,0.5626865671641791
6,1.1734104112447015,0.5579478686068062,1.0018952439792121,0.6394029850746269
7,1.1294356054855241,0.5763634212705548,0.9623619323346152,0.6450746268656716
8,1.0858154057224794,0.5910327694309713,0.957819433034356,0.6450746268656716
9,1.046176088237533,0.6066485271501242,1.004005045179111,0.635223880597015
10,1.0108922486416365,0.6221459836744351,0.9860519975156926,0.6429850746268657
