epoch,train_loss,train_acc,val_loss,val_acc
1,1.800560972076555,0.22469340273670096,3.2028213883869685,0.08925373134328358
2,1.691286651788908,0.2964627942742222,2.6101884207440844,0.11611940298507463
3,1.6036291111859573,0.35099964509641546,1.4820780766899906,0.48686567164179106
4,1.528139595922609,0.3911037501478765,1.25042024936249,0.5704477611940298
5,1.4662792289890256,0.4210733861745337,1.166915317649272,0.5997014925373134
6,1.424431182339795,0.4401198785441066,1.369251114041058,0.5074626865671642
7,1.3983772607992733,0.4478488899404551,1.1840110767065588,0.5740298507462687
8,1.373440386251563,0.46105919003115264,1.2176811844911148,0.5605970149253732
9,1.3517878854860947,0.46819669545329073,1.23740970163203,0.5534328358208955
10,1.326269393562542,0.4793170077684451,1.1826262562310517,0.5629850746268656
