epoch,train_loss,train_acc,val_loss,val_acc
1,1.8952025365009637,0.26479750778816197,1.447330575985695,0.4961194029850746
2,1.563752034536046,0.3817185220237391,1.408321999720673,0.4692537313432836
3,1.4375259433194494,0.4412634567609133,1.237768688273074,0.5474626865671641
4,1.3530907223120188,0.4754130683386569,1.1583043699122186,0.5835820895522388
5,1.2936701388044864,0.5047911983911038,1.082877229114077,0.6077611940298507
6,1.2415086709107175,0.5263220158523602,1.1864931105143988,0.5647761194029851
7,1.1968403931055926,0.5441854962735123,1.069465100836398,0.6062686567164179
8,1.1599616436200721,0.5605504948933318,1.0037970519065857,0.6382089552238805
9,1.117292834731926,0.5760873851492567,0.9774795961735854,0.6391044776119403
10,1.0807018747154464,0.5889822153870421,1.0080770678484618,0.6420895522388059
