epoch,train_loss,train_acc,val_loss,val_acc
1,2.508386223924203,0.22761149887613866,1.7711351759042313,0.36895522388059704
2,1.7074757053948073,0.31598249142316337,2.7140344716185956,0.22955223880597014
3,1.508848997883684,0.4157103986750266,1.4031492696591277,0.477910447761194
4,1.3962654103060956,0.4626365392957136,2.0018023157119753,0.331044776119403
5,1.3062248766067357,0.5025434756891045,1.9658786399506811,0.371044776119403
6,1.2463819650526449,0.5249024015142553,1.1388228182294475,0.6035820895522388
7,1.1841962797849814,0.5461571828542134,1.025290303087946,0.6277611940298508
8,1.1283258181945999,0.5736424937891873,1.3478542991182698,0.5486567164179105
9,1.07979692752638,0.5937536969123388,1.2444566628203464,0.5904477611940299
10,1.0313503763324912,0.6121692495760874,1.5424936870140815,0.49074626865671644
