epoch,train_loss,train_acc,val_loss,val_acc
1,1.6995540709942878,0.3091604558539375,1.2956514753512482,0.546865671641791
2,1.4009490937595088,0.4587325998659253,1.1893747696947696,0.5752238805970149
3,1.3012925179872732,0.4979691628218778,1.1388958704649512,0.5838805970149253
4,1.2381588029929143,0.5251390039039394,1.1008691074599082,0.5985074626865672
5,1.181670769225856,0.5504160258685279,1.0979273275119155,0.5967164179104477
6,1.124608120560444,0.573090421546591,1.0643957371498223,0.6176119402985074
7,1.0872279572568673,0.5886667455341299,1.0286529078412412,0.6194029850746269
8,1.041074185962956,0.6051106116171774,0.9498753391095062,0.6498507462686567
9,1.0007874046225123,0.6194644899246816,0.9659741346515827,0.6543283582089552
10,0.959255660655319,0.6349619464489925,1.048835389400596,0.6185074626865672
